2020年 01月 14日 星期二 17:48:56 CST
       N  	      loop	  time(ms)	  time(us)
       100	         0	         1	      1394
       100	         1	         0	       140
       100	         2	         0	       136
       100	         3	         0	       138
       100	         4	         0	        86
       100	         5	         0	        66
       100	         6	         0	        61
       100	         7	         0	        66
       100	         8	         0	        68
       100	         9	         0	        63
      N   	   average	       ms 	        us
       100	      AVER	  0.100000	221.800003
para  :4950
       N  	      loop	  time(ms)	  time(us)
       200	         0	         1	      1526
       200	         1	         0	       271
       200	         2	         0	       159
       200	         3	         0	       122
       200	         4	         0	       150
       200	         5	         0	       112
       200	         6	         0	       118
       200	         7	         0	       104
       200	         8	         0	       112
       200	         9	         0	        99
      N   	   average	       ms 	        us
       200	      AVER	  0.100000	277.299988
para  :19900
       N  	      loop	  time(ms)	  time(us)
       300	         0	         1	      1838
       300	         1	         0	       251
       300	         2	         0	       225
       300	         3	         0	       201
       300	         4	         0	       162
       300	         5	         0	       159
       300	         6	         0	       145
       300	         7	         0	       155
       300	         8	         0	       168
       300	         9	         0	       142
      N   	   average	       ms 	        us
       300	      AVER	  0.100000	344.600006
para  :44850
       N  	      loop	  time(ms)	  time(us)
       400	         0	         1	      1874
       400	         1	         0	       304
       400	         2	         0	       292
       400	         3	         0	       255
       400	         4	         0	       225
       400	         5	         0	       233
       400	         6	         0	       231
       400	         7	         0	       217
       400	         8	         0	       159
       400	         9	         0	       168
      N   	   average	       ms 	        us
       400	      AVER	  0.100000	395.799988
para  :79800
       N  	      loop	  time(ms)	  time(us)
       500	         0	         1	      1984
       500	         1	         0	       463
       500	         2	         0	       412
       500	         3	         0	       266
       500	         4	         0	       275
       500	         5	         0	       273
       500	         6	         0	       265
       500	         7	         0	       273
       500	         8	         0	       269
       500	         9	         0	       283
      N   	   average	       ms 	        us
       500	      AVER	  0.100000	476.299988
para  :124750
       N  	      loop	  time(ms)	  time(us)
       600	         0	         2	      2239
       600	         1	         0	       546
       600	         2	         0	       565
       600	         3	         1	      1074
       600	         4	         0	       451
       600	         5	         0	       644
       600	         6	         0	       319
       600	         7	         0	       436
       600	         8	         0	       221
       600	         9	         0	       200
      N   	   average	       ms 	        us
       600	      AVER	  0.300000	669.500000
para  :179700
       N  	      loop	  time(ms)	  time(us)
       700	         0	         2	      2481
       700	         1	         0	       610
       700	         2	         0	       492
       700	         3	         0	       533
       700	         4	         0	       415
       700	         5	         0	       274
       700	         6	         0	       232
       700	         7	         0	       230
       700	         8	         0	       229
       700	         9	         0	       503
      N   	   average	       ms 	        us
       700	      AVER	  0.200000	599.900024
para  :244650
       N  	      loop	  time(ms)	  time(us)
       800	         0	         2	      2693
       800	         1	         0	       764
       800	         2	         0	       633
       800	         3	         0	       606
       800	         4	         0	       602
       800	         5	         0	       598
       800	         6	         0	       614
       800	         7	         0	       652
       800	         8	         0	       396
       800	         9	         0	       325
      N   	   average	       ms 	        us
       800	      AVER	  0.200000	788.299988
para  :319600
       N  	      loop	  time(ms)	  time(us)
       900	         0	         2	      2743
       900	         1	         0	       745
       900	         2	         0	       654
       900	         3	         0	       430
       900	         4	         0	       354
       900	         5	         0	       303
       900	         6	         0	       477
       900	         7	         0	       313
       900	         8	         0	       296
       900	         9	         0	       289
      N   	   average	       ms 	        us
       900	      AVER	  0.200000	660.400024
para  :404550
       N  	      loop	  time(ms)	  time(us)
      1000	         0	         2	      2854
      1000	         1	         0	       982
      1000	         2	         0	       730
      1000	         3	         0	       424
      1000	         4	         0	       353
      1000	         5	         0	       333
      1000	         6	         0	       375
      1000	         7	         0	       330
      1000	         8	         0	       321
      1000	         9	         0	       330
      N   	   average	       ms 	        us
      1000	      AVER	  0.200000	703.200012
para  :499500
       N  	      loop	  time(ms)	  time(us)
      2000	         0	         4	      4267
      2000	         1	         1	      1825
      2000	         2	         2	      2068
      2000	         3	         1	      1506
      2000	         4	         1	      1157
      2000	         5	         1	      1101
      2000	         6	         1	      1098
      2000	         7	         1	      1082
      2000	         8	         1	      1107
      2000	         9	         1	      1124
      N   	   average	       ms 	        us
      2000	      AVER	  1.400000	1633.500000
para  :1999000
       N  	      loop	  time(ms)	  time(us)
      3000	         0	         7	      7214
      3000	         1	         4	      4126
      3000	         2	         2	      2358
      3000	         3	         2	      2344
      3000	         4	         2	      2320
      3000	         5	         2	      2324
      3000	         6	         2	      2370
      3000	         7	         2	      2337
      3000	         8	         2	      2364
      3000	         9	         2	      2343
      N   	   average	       ms 	        us
      3000	      AVER	  2.700000	3010.000000
para  :4498500
       N  	      loop	  time(ms)	  time(us)
      4000	         0	        15	     15530
      4000	         1	        16	     16031
      4000	         2	         7	      7005
      4000	         3	         4	      4073
      4000	         4	         4	      4107
      4000	         5	         4	      4100
      4000	         6	         4	      4090
      4000	         7	         4	      4054
      4000	         8	         4	      4042
      4000	         9	         4	      4078
      N   	   average	       ms 	        us
      4000	      AVER	  6.600000	6711.000000
para  :7998000
       N  	      loop	  time(ms)	  time(us)
      5000	         0	        22	     22453
      5000	         1	        17	     17928
